ID_CLAVE_UNICA,FECHA,CTR,MAQUINA,TURNO_ESTANDAR,METRAJE_DETALLADO,METRAJE_CONTROL_INTERNO,DIFERENCIA_METRAJE,ESTADO_TURNO
2021-10-26|AMERICANA|XRD50U-001|A,2021-10-26,AMERICANA,XRD50U-001,A,0.0,0.0,0.0,COINCIDE OK
2021-10-26|MOROCOCHA|XRD50U-001|A,2021-10-26,MOROCOCHA,XRD50U-001,A,0.0,0.0,0.0,COINCIDE OK
2021-10-26|YAULIYACU|XRD50U-001|A,2021-10-26,YAULIYACU,XRD50U-001,A,0.0,0.0,0.0,COINCIDE OK
2021-10-27|AMERICANA|XRD50U-001|A,2021-10-27,AMERICANA,XRD50U-001,A,0.0,0.0,0.0,COINCIDE OK
2021-10-27|AMERICANA|XRD50U-001|B,2021-10-27,AMERICANA,XRD50U-001,B,0.0,0.0,0.0,COINCIDE OK
2021-10-27|MOROCOCHA|XRD50U-001|A,2021-10-27,MOROCOCHA,XRD50U-001,A,0.0,0.0,0.0,COINCIDE OK
2021-10-27|MOROCOCHA|XRD50U-001|B,2021-10-27,MOROCOCHA,XRD50U-001,B,0.0,0.0,0.0,COINCIDE OK
2021-10-27|YAULIYACU|XRD50U-001|A,2021-10-27,YAULIYACU,XRD50U-001,A,0.0,0.0,0.0,COINCIDE OK
2021-10-27|YAULIYACU|XRD50U-001|B,2021-10-27,YAULIYACU,XRD50U-001,B,0.0,0.0,0.0,COINCIDE OK
2021-10-28|AMERICANA|XRD50U-001|A,2021-10-28,AMERICANA,XRD50U-001,A,0.0,0.0,0.0,COINCIDE OK
2021-10-28|AMERICANA|XRD50U-001|B,2021-10-28,AMERICANA,XRD50U-001,B,0.0,0.0,0.0,COINCIDE OK
2021-10-28|MOROCOCHA|XRD50U-001|A,2021-10-28,MOROCOCHA,XRD50U-001,A,0.0,0.0,0.0,COINCIDE OK
2021-10-28|MOROCOCHA|XRD50U-001|B,2021-10-28,MOROCOCHA,XRD50U-001,B,0.0,0.0,0.0,COINCIDE OK
2021-10-28|YAULIYACU|XRD50U-001|A,2021-10-28,YAULIYACU,XRD50U-001,A,0.0,0.0,0.0,COINCIDE OK
2021-10-28|YAULIYACU|XRD50U-001|B,2021-10-28,YAULIYACU,XRD50U-001,B,0.0,0.0,0.0,COINCIDE OK
