CTR,METRAJE_DETALLADO,METRAJE_CONTROL_INTERNO,DIFERENCIA_TOTAL
AMERICANA,2511.2,2511.2,0.0
ANDAYCHAGUA,2315.85,2315.85,0.0
CATALINA HUANCA,4677.2,4677.2,0.0
CERRO,660.2,660.2,0.0
CHUNGAR,2347.55,2347.55,0.0
COBRIZA,4376.7,4376.7,0.0
COLQUISIRI,1165.6000000000001,1165.6,0.0
CONDESTABLE,2996.5,2800.4,196.1
CUCULI,921.75,804.1,117.65
INMACULADA,3404.55,3404.55,0.0
LA ESTRELLA,1228.7,1228.7,0.0
MOROCOCHA,1842.8,1842.8,0.0
RAURA,2793.51,2793.51,0.0
SAN CRISTOBAL,2325.4,2325.4,0.0
TAMBOJASA,299.55,299.55,0.0
TICLIO,484.15000000000003,484.15,0.0
YAULIYACU,2553.8,2428.4,125.4
YAURICOCHA,188.75,188.75,0.0
