contrato_sk,contrato_cd,nombre_contrato,cliente_minero,zona_geografica,tipo_operacion,estado_vigencia
-1,NO_ASIGNADO,[CTR NO ASIGNADO],NO ESPECIFICADO,CENTRO,SUBTERRANEA,ACTIVO
1,CTR_AMERICANA,CONTRATO AMERICANA,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
2,CTR_ANDAYCHAGUA,CONTRATO ANDAYCHAGUA,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
3,CTR_CAPITANA,CONTRATO CAPITANA,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
4,CTR_CATALINA HUANCA,CONTRATO CATALINA HUANCA,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
5,CTR_CERRO,CONTRATO CERRO,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
6,CTR_CERRO DE PASCO,CONTRATO CERRO DE PASCO,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
7,CTR_CHUNGAR,CONTRATO CHUNGAR,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
8,CTR_COBRIZA,CONTRATO COBRIZA,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
9,CTR_COLQUISIRI,CONTRATO COLQUISIRI,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
10,CTR_CONDESTABLE,CONTRATO CONDESTABLE,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
11,CTR_CUCULI,CONTRATO CUCULI,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
12,CTR_INMACULADA,CONTRATO INMACULADA,CLIENTE MINERO TITULAR,SUR,SUBTERRANEA,ACTIVO
13,CTR_LA ESTRELLA,CONTRATO LA ESTRELLA,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
14,CTR_MOROCOCHA,CONTRATO MOROCOCHA,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
15,CTR_RAURA,CONTRATO RAURA,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
16,CTR_ROMINA,CONTRATO ROMINA,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
17,CTR_SAN CRISTOBAL,CONTRATO SAN CRISTOBAL,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
18,CTR_TAMBOJASA,CONTRATO TAMBOJASA,CLIENTE MINERO TITULAR,SUR,SUBTERRANEA,ACTIVO
19,CTR_TICLIO,CONTRATO TICLIO,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
20,CTR_YAULIYACU,CONTRATO YAULIYACU,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
21,CTR_YAURICOCHA,CONTRATO YAURICOCHA,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
