equipo_sk,equipo_cd,codigo_sap,modelo_fabricante,fabricante,tipo_servicio,tipo_energia,horas_dia_planeadas,contrato_sk_asignado,estado_operativo
-1,NO_ASIGNADO,SAP-000,[EQUIPO NO ASIGNADO],ROCKDRILL,NO DEFINIDO,ELECTRO-HIDRAULICA,24,-1,OPERATIVO
1,XRD125USS-001,SAP-XRD125USS-001,XRD125USS-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,1,OPERATIVO
2,XRD50U-002,SAP-XRD50U-002,XRD50U-002,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,1,OPERATIVO
3,XRD50USS-001,SAP-XRD50USS-001,XRD50USS-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,1,OPERATIVO
4,DE710ST-001,SAP-DE710ST-001,DE710ST-001,ROCKDRILL,SUPERFICIE,DIESEL,24,2,OPERATIVO
5,LF90D ST-002,SAP-LF90D ST-002,LF90D ST-002,ROCKDRILL,SUPERFICIE,DIESEL,24,2,OPERATIVO
6,LF90DST-002,SAP-LF90DST-002,LF90DST-002,ROCKDRILL,SUPERFICIE,DIESEL,24,2,OPERATIVO
7,XRD150U-001,SAP-XRD150U-001,XRD150U-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,2,OPERATIVO
8,XRD80USS-010,SAP-XRD80USS-010,XRD80USS-010,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,2,OPERATIVO
9,XRD90U-017,SAP-XRD90U-017,XRD90U-017,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,2,OPERATIVO
10,XRD125U,SAP-XRD125U,XRD125U,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,3,OPERATIVO
11,XRD150U,SAP-XRD150U,XRD150U,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,3,OPERATIVO
12,XRD150U-010,SAP-XRD150U-010,XRD150U-010,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,3,OPERATIVO
13,XRD220ST-001,SAP-XRD220ST-001,XRD220ST-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,3,OPERATIVO
14,XRD100U-001,SAP-XRD100U-001,XRD100U-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,4,OPERATIVO
15,XRD125UFDR-001,SAP-XRD125UFDR-001,XRD125UFDR-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,4,OPERATIVO
16,XRD125USS-001,SAP-XRD125USS-001,XRD125USS-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,4,OPERATIVO
17,XRD50U-001,SAP-XRD50U-001,XRD50U-001,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,4,OPERATIVO
18,XRD50U-003,SAP-XRD50U-003,XRD50U-003,ROCKDRILL,INTERIOR MINA,ELECTRO-HIDRAULICA,24,4,OPERATIVO
