sondaje_sk,sondaje_cd,contrato_sk,sondaje_padre_sk,profundidad_programada_m,linea_programada,inclinacion_grados,tipo_taladro
-1,NO_ASIGNADO,-1,-1,0.0,NO ESPECIFICADO,0.0,ORIGINAL
1,AME26117,1,-1,140.0,BQ,5.0,ORIGINAL
2,AME26118,1,-1,300.0,BQ,1.0,ORIGINAL
3,AME26120,1,-1,140.0,BQ,-12.0,ORIGINAL
4,COM-26-196,8,-1,200.0,NQ,-54.0,ORIGINAL
5,COM-26-197,8,-1,220.0,HQ,-66.0,ORIGINAL
6,COM-26-198,8,-1,210.0,NQ,-49.0,ORIGINAL
7,COM-26-199,8,-1,180.0,BQ,-3.0,ORIGINAL
8,COM-26-200,8,-1,180.0,HQ,-81.0,ORIGINAL
9,COM-26-201,8,-1,120.0,BQ,-17.0,ORIGINAL
10,COM-26-202,8,-1,130.0,BQ,-48.0,ORIGINAL
11,COM-26-203,8,-1,180.0,BQ,-13.0,ORIGINAL
12,COM-26-204,8,-1,200.0,NQ,-62.0,ORIGINAL
13,COM-26-205,8,-1,200.0,HQ,-20.0,ORIGINAL
14,DDH SPU 26024,17,-1,220.0,HQ,-81.0,ORIGINAL
15,DDH U SC 26039,17,-1,200.0,HQ,11.5,ORIGINAL
16,DDH U SC 26040,17,-1,320.0,HQ,-81.0,ORIGINAL
17,DDH U SC 26041,17,-1,140.0,HQ,11.5,ORIGINAL
18,DDH XRD150-6-26-45,13,-1,150.0,HQ,-5.0,ORIGINAL
19,DDH XRD150-6-26-46,13,-1,24.0,HQ,-5.0,ORIGINAL
20,DDH XRD150-6-26-46-1,13,-1,24.0,HQ,-7.0,ORIGINAL
21,DDH-208-26-M,9,-1,500.0,BQ,-90.0,ORIGINAL
22,DDH-26-44,13,-1,320.0,HQ,29.0,ORIGINAL
23,DDH-M-TA-26-03,18,-1,305.0,HQ,-25.0,ORIGINAL
24,DDH-S-TA-26-03,18,-1,210.0,HQ,-65.0,ORIGINAL
25,DDH-U-RAE-26-171,15,-1,236.0,HQ,-14.0,ORIGINAL
26,DDH-U-RAE-26-173,15,-1,276.0,HQ,3.0,ORIGINAL
27,DDH-U-RAI-26-170,15,-1,92.0,BQ,4.0,ORIGINAL
28,DDH-U-RAI-26-172,15,-1,103.0,BQ,-1.0,ORIGINAL
29,DDH-U-RAI-26-174,15,-1,100.0,BQ,-6.0,ORIGINAL
30,DDH-U-RAI-26-175,15,-1,92.0,BQ,20.0,ORIGINAL
31,DDH-U-RAI-26-176,15,-1,108.0,BQ,-1.0,ORIGINAL
32,DDH-U-RAI-26-177,15,-1,98.0,BQ,3.0,ORIGINAL
33,DDH02026S,11,-1,250.0,HQ,-80.0,ORIGINAL
34,DDH02126S,11,-1,250.0,HQ,-80.0,ORIGINAL
35,DDHSAN 26041,2,-1,582.0,HQ,-54.05,ORIGINAL
36,DDHSCHSE26076,7,-1,210.0,HQ,-40.5,ORIGINAL
37,DDHSCHSE26079,7,-1,220.0,HQ,-48.68,ORIGINAL
38,DDHUAN 26042,2,-1,200.0,HQ,18.81,ORIGINAL
39,DDHUAN 26044,2,-1,200.0,HQ,-0.03,ORIGINAL
40,DDHUAN 26045,2,-1,200.0,HQ,27.42,ORIGINAL
41,DDHUANSE-26043,2,-1,69.0,HQ,-25.86,ORIGINAL
42,DDHUCE-26024,5,-1,100.0,HQ,4.0,ORIGINAL
43,DDHUCE-26025,5,-1,100.0,HQ,4.0,ORIGINAL
44,DDHUCH26005,7,-1,920.0,HQ,-72.42,ORIGINAL
45,DDHUCH26010,7,-1,155.0,HQ,-19.0,ORIGINAL
46,DDHUCH26011,7,-1,98.0,HQ,-15.0,ORIGINAL
47,DDHUCH26012,7,-1,110.0,HQ,-24.0,ORIGINAL
48,DDHUCH26013,7,-1,270.0,HQ,-29.0,ORIGINAL
49,DDHUCH26075,7,-1,185.0,HQ,-66.69,ORIGINAL
50,DDHUES26005,7,-1,920.0,HQ,-72.42,ORIGINAL
51,DDHUTI 26017,19,-1,315.0,HQ,-86.0,ORIGINAL
52,DDHUTI 26018,19,-1,330.0,HQ,-69.0,ORIGINAL
53,E-COR-21-26-02,21,-1,130.0,HQ,-12.0,ORIGINAL
54,E-COR-21-26-03,21,-1,130.0,HQ,-8.0,ORIGINAL
55,GW-01,20,-1,250.0,HQ,-70.0,ORIGINAL
56,IMM26-546,12,-1,480.0,HQ,-14.98,ORIGINAL
57,IMM26-552-A,12,-1,210.0,NQ,7.5,RAMAL_PARALELO
58,IMM26-554,12,-1,305.0,HQ,-21.0,ORIGINAL
59,IMM26-555,12,-1,370.0,HQ,-49.8,ORIGINAL
60,IMM26-556,12,-1,210.0,HQ,-21.0,ORIGINAL
61,MO-UD-26-089,14,-1,300.0,HQ,-20.0,ORIGINAL
62,MO-UD-26-092,14,-1,150.0,NQ,47.0,ORIGINAL
63,MO-UD-26-093,14,-1,300.0,NQ,-24.0,ORIGINAL
64,PZ-CV-ANT-20-26-01,21,-1,300.0,HQ,-45.0,ORIGINAL
65,SIN SONDAJE,1,-1,0.0,HQ,-90.0,ORIGINAL
66,SIN SONDAJE,2,-1,0.0,HQ,-90.0,ORIGINAL
67,SIN SONDAJE,4,-1,0.0,HQ,-90.0,ORIGINAL
68,SIN SONDAJE,5,-1,0.0,HQ,-90.0,ORIGINAL
69,SIN SONDAJE,7,-1,0.0,HQ,-90.0,ORIGINAL
70,SIN SONDAJE,8,-1,0.0,HQ,-90.0,ORIGINAL
71,SIN SONDAJE,9,-1,0.0,HQ,-90.0,ORIGINAL
72,SIN SONDAJE,10,-1,0.0,HQ,-90.0,ORIGINAL
73,SIN SONDAJE,11,-1,0.0,HQ,-90.0,ORIGINAL
74,SIN SONDAJE,12,-1,0.0,HQ,-90.0,ORIGINAL
75,SIN SONDAJE,13,-1,0.0,HQ,-90.0,ORIGINAL
76,SIN SONDAJE,14,-1,0.0,HQ,-90.0,ORIGINAL
77,SIN SONDAJE,15,-1,0.0,HQ,-90.0,ORIGINAL
78,SIN SONDAJE,17,-1,0.0,HQ,-90.0,ORIGINAL
79,SIN SONDAJE,18,-1,0.0,HQ,-90.0,ORIGINAL
80,SIN SONDAJE,19,-1,0.0,HQ,-90.0,ORIGINAL
81,SIN SONDAJE,20,-1,0.0,HQ,-90.0,ORIGINAL
82,SIN SONDAJE,21,-1,0.0,HQ,-90.0,ORIGINAL
83,SP26-0325,12,-1,18.0,NQ,-90.0,ORIGINAL
84,SP26-0336,12,-1,48.0,NQ,-90.0,ORIGINAL
85,SP26-0337,12,-1,54.0,NQ,-90.0,ORIGINAL
86,SP26-0408,12,-1,9.0,NQ,-90.0,ORIGINAL
87,SP26-0409,12,-1,9.0,NQ,-90.0,ORIGINAL
88,SP26-0410,12,-1,12.0,NQ,-90.0,ORIGINAL
89,SP26-0411,12,-1,12.0,NQ,-90.0,ORIGINAL
90,SP26-0412,12,-1,6.0,NQ,-90.0,ORIGINAL
91,SP26-0413,12,-1,6.0,NQ,-90.0,ORIGINAL
92,SP26-0414,12,-1,6.0,NQ,-90.0,ORIGINAL
93,SP26-0415,12,-1,6.0,NQ,-90.0,ORIGINAL
94,SP26-0465,12,-1,6.0,NQ,-90.0,ORIGINAL
95,SP26-0466,12,-1,9.0,NQ,-90.0,ORIGINAL
96,SP26-0467,12,-1,6.0,NQ,-90.0,ORIGINAL
97,SP26-0468,12,-1,6.0,NQ,-90.0,ORIGINAL
98,SP26-0469,12,-1,8.0,NQ,-90.0,ORIGINAL
99,SP26-0471,12,-1,12.0,NQ,-90.0,ORIGINAL
100,TL-03 (9),10,-1,553.2,HQ,-90.0,ORIGINAL
101,TL-2(10),10,-1,553.2,HQ,-88.5,ORIGINAL
102,TL-3(15),10,-1,553.2,HQ,-88.5,ORIGINAL
103,TLL-1(12),10,-1,553.2,HQ,-88.5,ORIGINAL
104,UDH-13645,10,-1,170.0,NQ,-8.0,ORIGINAL
105,UDH-13653,10,-1,150.0,NQ,-2.0,ORIGINAL
