meta_id,calendario_sk,periodo_operativo_sort,mes_operativo_dt,contrato_sk,equipo_sk,tipo_maquina,meta_metraje_m,proyectado_m
1,20250101,202501,2025-01-01,4,18,MINA,750.0,0.0
2,20250101,202501,2025-01-01,4,19,MINA,750.0,0.0
3,20250101,202501,2025-01-01,4,17,MINA,750.0,0.0
4,20250101,202501,2025-01-01,4,21,MINA,750.0,0.0
5,20250101,202501,2025-01-01,4,20,MINA,750.0,0.0
6,20260101,202601,2026-01-01,1,2,MINA,1100.0,0.0
7,20260101,202601,2026-01-01,1,3,MINA,1100.0,0.0
8,20260101,202601,2026-01-01,13,65,MINA,850.0,0.0
9,20260101,202601,2026-01-01,13,64,MINA,850.0,0.0
10,20260101,202601,2026-01-01,8,40,MINA,1050.0,0.0
11,20260101,202601,2026-01-01,8,43,MINA,1050.0,0.0
12,20260101,202601,2026-01-01,8,42,MINA,1050.0,0.0
13,20260101,202601,2026-01-01,8,41,MINA,1050.0,0.0
14,20260101,202601,2026-01-01,8,34,MINA,1050.0,0.0
15,20260101,202601,2026-01-01,11,52,SUPERFICIE,760.0,0.0
16,20260101,202601,2026-01-01,9,44,MINA,1050.0,0.0
17,20260101,202601,2026-01-01,16,76,MINA,900.0,0.0
18,20260101,202601,2026-01-01,16,75,MINA,1000.0,0.0
19,20260101,202601,2026-01-01,12,54,SUPERFICIE,800.0,0.0
20,20260101,202601,2026-01-01,12,53,SUPERFICIE,800.0,0.0
21,20260101,202601,2026-01-01,12,60,MINA,800.0,0.0
22,20260101,202601,2026-01-01,12,62,MINA,800.0,0.0
23,20260101,202601,2026-01-01,17,82,MINA,850.0,0.0
24,20260101,202601,2026-01-01,17,80,MINA,850.0,0.0
25,20260101,202601,2026-01-01,17,81,MINA,850.0,0.0
26,20260101,202601,2026-01-01,7,27,MINA,900.0,0.0
27,20260101,202601,2026-01-01,7,31,MINA,900.0,0.0
28,20260101,202601,2026-01-01,7,32,MINA,900.0,0.0
29,20260101,202601,2026-01-01,7,33,MINA,900.0,0.0
30,20260101,202601,2026-01-01,7,26,MINA,900.0,0.0
31,20260101,202601,2026-01-01,7,25,MINA,900.0,0.0
32,20260101,202601,2026-01-01,2,5,SUPERFICIE,900.0,0.0
33,20260101,202601,2026-01-01,2,8,MINA,900.0,0.0
34,20260101,202601,2026-01-01,2,9,MINA,900.0,0.0
35,20260101,202601,2026-01-01,2,4,SUPERFICIE,900.0,0.0
36,20260101,202601,2026-01-01,10,51,MINA,1600.0,0.0
37,20260101,202601,2026-01-01,10,48,SUPERFICIE,750.0,0.0
38,20260101,202601,2026-01-01,10,45,MINA,900.0,0.0
39,20260101,202601,2026-01-01,14,68,MINA,1150.0,0.0
40,20260101,202601,2026-01-01,14,69,MINA,1150.0,0.0
41,20260101,202601,2026-01-01,14,67,MINA,1150.0,0.0
42,20260101,202601,2026-01-01,15,73,MINA,900.0,0.0
43,20260101,202601,2026-01-01,15,72,MINA,835.0,0.0
44,20260101,202601,2026-01-01,15,71,MINA,900.0,0.0
