HOJA_FECHA,FECHA,CTR,MAQUINA,TURNO_ESTANDAR,METRAJE_CI,SE_PERFORO,ID_CLAVE_UNICA
26.08,2026-08-26,AMERICANA,XRD50U-002,A,35.0,SI,20260826-XRD50U-002-A
26.08,2026-08-26,AMERICANA,XRD50U-002,B,15.5,SI,20260826-XRD50U-002-B
26.08,2026-08-26,AMERICANA,XRD50USS-001,A,0.0,SI,20260826-XRD50USS-001-A
26.08,2026-08-26,AMERICANA,XRD50USS-001,B,0.0,SI,20260826-XRD50USS-001-B
26.08,2026-08-26,COLQUISIRI,XRD80USS-012,A,7.3,SI,20260826-XRD80USS-012-A
26.08,2026-08-26,COLQUISIRI,XRD80USS-012,B,16.2,SI,20260826-XRD80USS-012-B
26.08,2026-08-26,CUCULI,XRD100ST-001,A,0.0,SI,20260826-XRD100ST-001-A
26.08,2026-08-26,CUCULI,XRD100ST-001,B,0.0,SI,20260826-XRD100ST-001-B
26.08,2026-08-26,SAN CRISTOBAL,XRD90U-023,A,2.0,SI,20260826-XRD90U-023-A
26.08,2026-08-26,SAN CRISTOBAL,XRD90U-023,B,2.2,SI,20260826-XRD90U-023-B
26.08,2026-08-26,SAN CRISTOBAL,XRD90U-004,A,22.95,SI,20260826-XRD90U-004-A
26.08,2026-08-26,SAN CRISTOBAL,XRD90U-004,B,18.95,SI,20260826-XRD90U-004-B
26.08,2026-08-26,SAN CRISTOBAL,XRD150U-012,A,0.0,SI,20260826-XRD150U-012-A
26.08,2026-08-26,SAN CRISTOBAL,XRD150U-012,B,0.0,SI,20260826-XRD150U-012-B
26.08,2026-08-26,SAN CRISTOBAL,DE710ST-001,A,8.2,SI,20260826-DE710ST-001-A
26.08,2026-08-26,SAN CRISTOBAL,DE710ST-001,B,8.5,SI,20260826-DE710ST-001-B
26.08,2026-08-26,CATALINA HUANCA,XRD50U-003,A,0.0,SI,20260826-XRD50U-003-A
26.08,2026-08-26,CATALINA HUANCA,XRD50U-003,B,3.2,SI,20260826-XRD50U-003-B
26.08,2026-08-26,CATALINA HUANCA,XRD50USS-004,A,13.3,SI,20260826-XRD50USS-004-A
26.08,2026-08-26,CATALINA HUANCA,XRD50USS-004,B,15.7,SI,20260826-XRD50USS-004-B
26.08,2026-08-26,CATALINA HUANCA,XRD100U-001,A,8.5,SI,20260826-XRD100U-001-A
26.08,2026-08-26,CATALINA HUANCA,XRD100U-001,B,21.0,SI,20260826-XRD100U-001-B
26.08,2026-08-26,CATALINA HUANCA,XRD90U-005,A,16.0,SI,20260826-XRD90U-005-A
26.08,2026-08-26,CATALINA HUANCA,XRD90U-005,B,18.5,SI,20260826-XRD90U-005-B
26.08,2026-08-26,CATALINA HUANCA,XRD125UFDR-001,A,0.0,SI,20260826-XRD125UFDR-001-A
26.08,2026-08-26,CATALINA HUANCA,XRD125UFDR-001,B,12.1,SI,20260826-XRD125UFDR-001-B
26.08,2026-08-26,COBRIZA,XRD50UFDR-001,A,7.2,SI,20260826-XRD50UFDR-001-A
26.08,2026-08-26,COBRIZA,XRD50UFDR-001,B,11.8,SI,20260826-XRD50UFDR-001-B
26.08,2026-08-26,COBRIZA,XRD90U-019,A,0.0,NO,20260826-XRD90U-019-A
26.08,2026-08-26,COBRIZA,XRD90U-019,B,0.0,NO,20260826-XRD90U-019-B
26.08,2026-08-26,COBRIZA,XRD80USS-006,A,0.0,SI,20260826-XRD80USS-006-A
26.08,2026-08-26,COBRIZA,XRD80USS-006,B,0.0,SI,20260826-XRD80USS-006-B
26.08,2026-08-26,COBRIZA,XRD50USS-002,A,0.0,NO,20260826-XRD50USS-002-A
26.08,2026-08-26,COBRIZA,XRD50USS-002,B,0.0,NO,20260826-XRD50USS-002-B
26.08,2026-08-26,COBRIZA,XLM75UFDR-003,A,7.9,SI,20260826-XLM75UFDR-003-A
26.08,2026-08-26,COBRIZA,XLM75UFDR-003,B,14.6,SI,20260826-XLM75UFDR-003-B
26.08,2026-08-26,COBRIZA,XRD125UFDR-002,A,10.3,SI,20260826-XRD125UFDR-002-A
26.08,2026-08-26,COBRIZA,XRD125UFDR-002,B,11.9,SI,20260826-XRD125UFDR-002-B
26.08,2026-08-26,COBRIZA,XRD150U-008,A,30.7,SI,20260826-XRD150U-008-A
26.08,2026-08-26,COBRIZA,XRD150U-008,B,11.4,SI,20260826-XRD150U-008-B
26.08,2026-08-26,RAURA,XRD90USS-004,A,8.82,SI,20260826-XRD90USS-004-A
26.08,2026-08-26,RAURA,XRD90USS-004,B,18.02,SI,20260826-XRD90USS-004-B
26.08,2026-08-26,RAURA,XRD90USS-001,A,21.94,SI,20260826-XRD90USS-001-A
26.08,2026-08-26,RAURA,XRD90USS-001,B,0.0,SI,20260826-XRD90USS-001-B
26.08,2026-08-26,RAURA,XRD150UBT-001,A,0.0,SI,20260826-XRD150UBT-001-A
26.08,2026-08-26,RAURA,XRD150UBT-001,B,0.0,SI,20260826-XRD150UBT-001-B
26.08,2026-08-26,RAURA,XRD150U-005,A,12.56,SI,20260826-XRD150U-005-A
26.08,2026-08-26,RAURA,XRD150U-005,B,15.23,SI,20260826-XRD150U-005-B
26.08,2026-08-26,CHUNGAR,XRD120U-001,A,0.7,SI,20260826-XRD120U-001-A
26.08,2026-08-26,CHUNGAR,XRD120U-001,B,0.0,SI,20260826-XRD120U-001-B
26.08,2026-08-26,CHUNGAR,XRD150USS-005,A,0.0,NO,20260826-XRD150USS-005-A
26.08,2026-08-26,CHUNGAR,XRD150USS-005,B,0.0,SI,20260826-XRD150USS-005-B
