SONDAJE,FECHA_INICIO_REAL,FECHA_FIN_REAL,AVANCE_ACUMULADO,MAQUINA_PRINCIPAL,CTR_A_CARGO,PROFUNDIDAD_PROGRAMADA,Etiqueta_Gantt
  DDH-M-TA-26-03,2026-08-26,2026-08-27,41.15,XRD150U-009,TAMBOJASA,305.0,  DDH-M-TA-26-03 (TAMBOJASA)
 DDHSCHSE26076,2026-08-26,2026-08-27,96.0,LM90U-001,CHUNGAR,210.0, DDHSCHSE26076 (CHUNGAR)
 SP26-0325,2026-08-26,2026-08-27,0.0,XRD80USS-008,INMACULADA,18.0, SP26-0325 (INMACULADA)
AME26117,2026-08-26,2026-08-27,92.9,XRD50U-002,AMERICANA,140.0,AME26117 (AMERICANA)
AME26118,2026-08-26,2026-08-27,0.0,XRD50USS-001,AMERICANA,300.0,AME26118 (AMERICANA)
COM-26-196,2026-08-26,2026-08-26,19.0,XRD50UFDR-001,COBRIZA,200.0,COM-26-196 (COBRIZA)
COM-26-197,2026-08-26,2026-08-27,56.4,XRD150U-008,COBRIZA,220.0,COM-26-197 (COBRIZA)
COM-26-198,2026-08-26,2026-08-27,65.3,XRD125UFDR-002,COBRIZA,210.0,COM-26-198 (COBRIZA)
COM-26-199,2026-08-26,2026-08-27,54.6,XLM75UFDR-003,COBRIZA,180.0,COM-26-199 (COBRIZA)
COM-26-200,2026-08-26,2026-08-27,27.0,XRD80USS-006,COBRIZA,180.0,COM-26-200 (COBRIZA)
COM-26-201,2026-08-27,2026-08-27,10.2,XRD50UFDR-001,COBRIZA,120.0,COM-26-201 (COBRIZA)
DDH SPU 26024,2026-08-26,2026-08-27,33.9,DE710ST-001,SAN CRISTOBAL,220.0,DDH SPU 26024 (SAN CRISTOBAL)
DDH U SC 26039,2026-08-01,2026-08-31,5.5,XRD90U-023,SAN CRISTOBAL,200.0,DDH U SC 26039 (SAN CRISTOBAL)
DDH U SC 26040,2026-08-26,2026-08-28,81.44999999999999,XRD90U-004,SAN CRISTOBAL,320.0,DDH U SC 26040 (SAN CRISTOBAL)
DDH XRD150-6-26-45,2026-08-26,2026-08-26,27.5,XRD150U-006,LA ESTRELLA,150.0,DDH XRD150-6-26-45 (LA ESTRELLA)
DDH-208-26-M,2026-08-26,2026-08-27,44.5,XRD80USS-012,COLQUISIRI,500.0,DDH-208-26-M (COLQUISIRI)
DDH-26-44,2026-08-26,2026-08-26,22.9,XRD150U-004,LA ESTRELLA,320.0,DDH-26-44 (LA ESTRELLA)
DDH-S-TA-26-03,2026-08-26,2026-08-27,96.2,DE710T-002,TAMBOJASA,210.0,DDH-S-TA-26-03 (TAMBOJASA)
DDH-U-RAE-26-171,2026-08-26,2026-08-27,40.49,XRD150U-005,RAURA,236.0,DDH-U-RAE-26-171 (RAURA)
DDH-U-RAE-26-173,2026-08-26,2026-08-27,62.0,XRD150UBT-001,RAURA,276.0,DDH-U-RAE-26-173 (RAURA)
DDH-U-RAI-26-170,2026-08-26,2026-08-26,8.82,XRD90USS-004,RAURA,92.0,DDH-U-RAI-26-170 (RAURA)
DDH-U-RAI-26-172,2026-08-26,2026-08-27,56.57,XRD90USS-001,RAURA,103.0,DDH-U-RAI-26-172 (RAURA)
DDH-U-RAI-26-174,2026-08-26,2026-08-27,77.79,XRD90USS-004,RAURA,100.0,DDH-U-RAI-26-174 (RAURA)
DDH02026S,2026-08-26,2026-08-27,0.0,XRD100ST-001,CUCULI,250.0,DDH02026S (CUCULI)
DDHSAN 26041,2026-08-26,2026-08-27,81.1,LF90D ST-002,ANDAYCHAGUA,582.0,DDHSAN 26041 (ANDAYCHAGUA)
DDHUAN 26042,2026-08-26,2026-08-27,39.55,XRD150U-001,ANDAYCHAGUA,200.0,DDHUAN 26042 (ANDAYCHAGUA)
DDHUAN 26044,2026-08-27,2026-08-27,9.15,XRD150U-001,ANDAYCHAGUA,200.0,DDHUAN 26044 (ANDAYCHAGUA)
DDHUANSE-26043,2026-08-26,2026-08-27,48.7,XRD80USS-010,ANDAYCHAGUA,69.0,DDHUANSE-26043 (ANDAYCHAGUA)
DDHUCE-26024,2026-08-26,2026-08-27,44.900000000000006,XRD150U-002,CERRO,100.0,DDHUCE-26024 (CERRO)
DDHUCH26005,2026-08-26,2026-08-28,0.0,XRD120U-001,CHUNGAR,920.0,DDHUCH26005 (CHUNGAR)
DDHUCH26010,2026-08-26,2026-08-27,52.4,XRD90USS-003,CHUNGAR,155.0,DDHUCH26010 (CHUNGAR)
DDHUCH26011,2026-08-26,2026-08-27,46.2,LM110U-001,CHUNGAR,98.0,DDHUCH26011 (CHUNGAR)
DDHUCH26075,2026-08-26,2026-08-27,49.5,XRD90U-03,CHUNGAR,185.0,DDHUCH26075 (CHUNGAR)
DDHUES26005 ,2026-08-26,2026-08-27,0.7,XRD120U-001,CHUNGAR,920.0,DDHUES26005  (CHUNGAR)
DDHUTI 26017,2026-08-26,2026-08-27,68.67,XRD150U-007,TICLIO,315.0,DDHUTI 26017 (TICLIO)
E-COR-21-26-02,2026-08-26,2026-08-26,25.799999999999997,XRD150USS-001,YAURICOCHA,130.0,E-COR-21-26-02 (YAURICOCHA)
GW-01,2026-08-26,2026-08-27,50.75,XRD125USS-001,YAULIYACU,250.0,GW-01 (YAULIYACU)
IMM26-546,2026-08-26,2026-08-27,0.0,XRD250U-001,INMACULADA,480.0,IMM26-546 (INMACULADA)
IMM26-552-A,2026-08-26,2026-08-27,16.1,XRD90U-012,INMACULADA,210.0,IMM26-552-A (INMACULADA)
IMM26-554,2026-08-26,2026-08-27,43.3,XRD90U-016,INMACULADA,305.0,IMM26-554 (INMACULADA)
IMM26-555,2026-08-26,2026-08-27,44.9,XRD150U-003,INMACULADA,370.0,IMM26-555 (INMACULADA)
MO-UD-26-089,2026-08-26,2026-08-27,15.1,XRD90USS-005,MOROCOCHA,300.0,MO-UD-26-089 (MOROCOCHA)
MO-UD-26-092,2026-08-26,2026-08-27,0.0,XRD80USS-011,MOROCOCHA,150.0,MO-UD-26-092 (MOROCOCHA)
MO-UD-26-093,2026-08-26,2026-08-27,68.75,XRD150USS-002,MOROCOCHA,300.0,MO-UD-26-093 (MOROCOCHA)
PZ-CV-ANT-20-26-01,2026-08-26,2026-08-26,33.7,XRD150U-011,YAURICOCHA,300.0,PZ-CV-ANT-20-26-01 (YAURICOCHA)
