actividad_sk,nombre_actividad,bloque_funcional,categoria_disponibilidad,es_cobrable,impacta_disp_mecanica
-1,[ACTIVIDAD NO CATALOGADA],NO CATALOGADO,Stand By Inoperativo,False,False
1,Perforación,Tiempos Operativos Directos,Tiempo Efectivo - Operativo,True,False
2,Rimado,Tiempos Operativos Directos,Tiempo Efectivo - Operativo,True,False
3,Asentado / Retiro Casing,Tiempos Operativos Directos,Tiempo Efectivo - Operativo,True,False
4,RePerforación,Tiempos Operativos Directos,Tiempo Efectivo - Operativo,True,False
5,Preventivo,Tiempos de Mantenimiento,Mantenimiento,False,True
6,Correctivo,Tiempos de Mantenimiento,Mantenimiento,False,True
7,Lavado de sondaje,Maniobras Operativas,Stand By Operativo,False,False
8,Mezclado de lodos,Maniobras Operativas,Stand By Operativo,False,False
9,Manipulación de tuberías,Maniobras Operativas,Stand By Operativo,False,False
10,Acondicionamiento de sondaje,Maniobras Operativas,Stand By Operativo,False,False
11,Cambio de línea,Maniobras Operativas,Stand By Operativo,False,False
12,Recuperación de sondaje por problemas geologicos,Maniobras Operativas,Stand By Operativo,False,False
13,Recuperación de materiales y o maniobras por atrapamiento,Maniobras Operativas,Stand By Operativo,False,False
14,Maniobras por descarga y carga de tuberías (por problemas geologicos),Maniobras Operativas,Stand By Operativo,False,False
15,Perforación en fallas y/o terrenos altamente fracturados,Maniobras Operativas,Stand By Operativo,False,False
16,Medición de Desviación,Maniobras Operativas,Stand By Operativo,False,False
17,Traslado entre cámaras de perforación,Maniobras Operativas,Stand By Operativo,False,False
18,Cambio de punto de perforacion,Maniobras Operativas,Stand By Operativo,False,False
19,Anclado de máquina de perforación,Maniobras Operativas,Stand By Operativo,False,False
20,Perforación de perno de anclaje,Maniobras Operativas,Stand By Operativo,False,False
21,Cementación de perno de anclaje y fraguado,Maniobras Operativas,Stand By Operativo,False,False
22,Cementado y fraguado de sondaje,Maniobras Operativas,Stand By Operativo,False,False
23,Obturación/Sellado de sondaje con packer,Maniobras Operativas,Stand By Operativo,False,False
24,Sellado de Sondaje,Maniobras Operativas,Stand By Operativo,False,False
25,Inyección de lechada de cemento,Maniobras Operativas,Stand By Operativo,False,False
26,Ensayo Lefranc,Ensayos Geotécnicos e Hidrogeológicos,Stand By Operativo,True,False
27,Ensayo Lugeon,Ensayos Geotécnicos e Hidrogeológicos,Stand By Operativo,True,False
28,Prueba SPT,Ensayos Geotécnicos e Hidrogeológicos,Stand By Operativo,True,False
29,Prueba Shelby,Ensayos Geotécnicos e Hidrogeológicos,Stand By Operativo,True,False
30,Pruebas Geotécnicas,Ensayos Geotécnicos e Hidrogeológicos,Stand By Operativo,True,False
31,Prueba de nivel freático,Ensayos Geotécnicos e Hidrogeológicos,Stand By Operativo,True,False
32,Ensayo Air Lift,Ensayos Geotécnicos e Hidrogeológicos,Stand By Operativo,True,False
33,Ensayo Slug Test,Ensayos Geotécnicos e Hidrogeológicos,Stand By Operativo,True,False
34,Instalación de piezómetro Casagrande,Ensayos Geotécnicos e Hidrogeológicos,Stand By Operativo,True,False
