hora_evento_id,calendario_sk,contrato_sk,equipo_sk,actividad_sk,turno_guardia,horas_reportadas,es_cobrable,categoria_disponibilidad,id_clave_unica
1,20260826,1,1,1,A,5.0,True,Tiempo Efectivo - Operativo,20260826-XRD50U-002-A
2,20260826,1,1,1,B,5.0,True,Tiempo Efectivo - Operativo,20260826-XRD50U-002-B
3,20260827,1,1,1,A,6.0,True,Tiempo Efectivo - Operativo,20260827-XRD50U-002-A
4,20260827,1,1,1,B,2.5,True,Tiempo Efectivo - Operativo,20260827-XRD50U-002-B
5,20260828,1,1,1,A,3.0,True,Tiempo Efectivo - Operativo,20260828-XRD50U-002-A
6,20260828,1,1,1,B,2.0,True,Tiempo Efectivo - Operativo,20260828-XRD50U-002-B
7,20260829,1,1,1,A,5.0,True,Tiempo Efectivo - Operativo,20260829-XRD50U-002-A
8,20260827,1,2,1,B,5.0,True,Tiempo Efectivo - Operativo,20260827-XRD50USS-001-B
9,20260828,1,2,1,A,4.0,True,Tiempo Efectivo - Operativo,20260828-XRD50USS-001-A
10,20260828,1,2,1,B,4.0,True,Tiempo Efectivo - Operativo,20260828-XRD50USS-001-B
11,20260829,1,2,1,A,5.0,True,Tiempo Efectivo - Operativo,20260829-XRD50USS-001-A
12,20260829,1,2,1,B,5.0,True,Tiempo Efectivo - Operativo,20260829-XRD50USS-001-B
13,20260830,1,2,1,A,4.0,True,Tiempo Efectivo - Operativo,20260830-XRD50USS-001-A
14,20260830,1,2,1,B,5.0,True,Tiempo Efectivo - Operativo,20260830-XRD50USS-001-B
15,20260826,2,5,1,B,4.5,True,Tiempo Efectivo - Operativo,20260826-XRD80USS-010-B
16,20260827,2,5,1,B,4.0,True,Tiempo Efectivo - Operativo,20260827-XRD80USS-010-B
17,20260828,2,5,1,A,4.0,True,Tiempo Efectivo - Operativo,20260828-XRD80USS-010-A
18,20260828,2,5,1,B,6.0,True,Tiempo Efectivo - Operativo,20260828-XRD80USS-010-B
19,20260829,2,5,1,A,4.0,True,Tiempo Efectivo - Operativo,20260829-XRD80USS-010-A
20,20260829,2,5,1,B,5.0,True,Tiempo Efectivo - Operativo,20260829-XRD80USS-010-B
21,20260830,2,5,1,B,5.5,True,Tiempo Efectivo - Operativo,20260830-XRD80USS-010-B
22,20260826,2,4,1,A,6.0,True,Tiempo Efectivo - Operativo,20260826-XRD150U-001-A
23,20260826,2,4,1,B,4.5,True,Tiempo Efectivo - Operativo,20260826-XRD150U-001-B
24,20260827,2,4,1,A,6.0,True,Tiempo Efectivo - Operativo,20260827-XRD150U-001-A
25,20260827,2,4,1,B,3.0,True,Tiempo Efectivo - Operativo,20260827-XRD150U-001-B
26,20260828,2,4,1,A,4.5,True,Tiempo Efectivo - Operativo,20260828-XRD150U-001-A
27,20260828,2,4,1,B,6.0,True,Tiempo Efectivo - Operativo,20260828-XRD150U-001-B
28,20260829,2,4,1,A,5.0,True,Tiempo Efectivo - Operativo,20260829-XRD150U-001-A
29,20260829,2,4,1,B,6.0,True,Tiempo Efectivo - Operativo,20260829-XRD150U-001-B
30,20260826,2,3,1,A,6.0,True,Tiempo Efectivo - Operativo,20260826-LF90D ST-002-A
31,20260826,2,3,1,B,6.0,True,Tiempo Efectivo - Operativo,20260826-LF90D ST-002-B
32,20260827,2,3,1,A,4.0,True,Tiempo Efectivo - Operativo,20260827-LF90D ST-002-A
33,20260827,2,3,1,B,3.0,True,Tiempo Efectivo - Operativo,20260827-LF90D ST-002-B
34,20260828,2,3,1,B,6.0,True,Tiempo Efectivo - Operativo,20260828-LF90D ST-002-B
35,20260829,2,3,1,A,4.0,True,Tiempo Efectivo - Operativo,20260829-LF90D ST-002-A
36,20260829,2,3,1,B,2.5,True,Tiempo Efectivo - Operativo,20260829-LF90D ST-002-B
37,20260830,2,3,1,B,4.0,True,Tiempo Efectivo - Operativo,20260830-LF90D ST-002-B
38,20260826,3,8,1,B,1.0,True,Tiempo Efectivo - Operativo,20260826-XRD50U-003-B
39,20260827,3,8,1,A,4.0,True,Tiempo Efectivo - Operativo,20260827-XRD50U-003-A
40,20260827,3,8,1,B,4.5,True,Tiempo Efectivo - Operativo,20260827-XRD50U-003-B
41,20260828,3,8,1,A,5.5,True,Tiempo Efectivo - Operativo,20260828-XRD50U-003-A
42,20260828,3,8,1,B,4.5,True,Tiempo Efectivo - Operativo,20260828-XRD50U-003-B
43,20260829,3,8,1,A,3.5,True,Tiempo Efectivo - Operativo,20260829-XRD50U-003-A
44,20260830,3,8,1,A,1.0,True,Tiempo Efectivo - Operativo,20260830-XRD50U-003-A
45,20260830,3,8,1,B,4.0,True,Tiempo Efectivo - Operativo,20260830-XRD50U-003-B
46,20260826,3,9,1,A,4.5,True,Tiempo Efectivo - Operativo,20260826-XRD50USS-004-A
47,20260826,3,9,1,B,5.0,True,Tiempo Efectivo - Operativo,20260826-XRD50USS-004-B
48,20260827,3,9,1,A,3.0,True,Tiempo Efectivo - Operativo,20260827-XRD50USS-004-A
49,20260827,3,9,1,B,4.0,True,Tiempo Efectivo - Operativo,20260827-XRD50USS-004-B
50,20260828,3,9,1,A,5.0,True,Tiempo Efectivo - Operativo,20260828-XRD50USS-004-A
51,20260829,3,9,1,A,5.0,True,Tiempo Efectivo - Operativo,20260829-XRD50USS-004-A
52,20260829,3,9,1,B,1.0,True,Tiempo Efectivo - Operativo,20260829-XRD50USS-004-B
53,20260830,3,9,1,A,4.5,True,Tiempo Efectivo - Operativo,20260830-XRD50USS-004-A
54,20260826,3,6,1,A,4.0,True,Tiempo Efectivo - Operativo,20260826-XRD100U-001-A
55,20260826,3,6,1,B,6.0,True,Tiempo Efectivo - Operativo,20260826-XRD100U-001-B
56,20260827,3,6,1,A,4.0,True,Tiempo Efectivo - Operativo,20260827-XRD100U-001-A
57,20260829,3,6,1,B,7.0,True,Tiempo Efectivo - Operativo,20260829-XRD100U-001-B
58,20260830,3,6,1,A,5.5,True,Tiempo Efectivo - Operativo,20260830-XRD100U-001-A
59,20260830,3,6,1,B,6.0,True,Tiempo Efectivo - Operativo,20260830-XRD100U-001-B
60,20260826,3,10,1,A,4.0,True,Tiempo Efectivo - Operativo,20260826-XRD90U-005-A
61,20260826,3,10,1,B,4.0,True,Tiempo Efectivo - Operativo,20260826-XRD90U-005-B
62,20260827,3,10,1,A,3.5,True,Tiempo Efectivo - Operativo,20260827-XRD90U-005-A
63,20260830,3,10,1,B,2.5,True,Tiempo Efectivo - Operativo,20260830-XRD90U-005-B
64,20260826,3,7,1,B,4.0,True,Tiempo Efectivo - Operativo,20260826-XRD125UFDR-001-B
65,20260827,3,7,1,A,2.5,True,Tiempo Efectivo - Operativo,20260827-XRD125UFDR-001-A
66,20260827,3,7,1,B,5.0,True,Tiempo Efectivo - Operativo,20260827-XRD125UFDR-001-B
67,20260828,3,7,1,A,6.0,True,Tiempo Efectivo - Operativo,20260828-XRD125UFDR-001-A
68,20260828,3,7,1,B,5.0,True,Tiempo Efectivo - Operativo,20260828-XRD125UFDR-001-B
69,20260829,3,7,1,A,4.0,True,Tiempo Efectivo - Operativo,20260829-XRD125UFDR-001-A
70,20260829,3,7,1,B,5.0,True,Tiempo Efectivo - Operativo,20260829-XRD125UFDR-001-B
71,20260830,3,7,1,A,4.5,True,Tiempo Efectivo - Operativo,20260830-XRD125UFDR-001-A
72,20260826,4,11,1,B,5.0,True,Tiempo Efectivo - Operativo,20260826-XRD150U-002-B
73,20260827,4,11,1,A,5.5,True,Tiempo Efectivo - Operativo,20260827-XRD150U-002-A
74,20260827,4,11,1,B,6.0,True,Tiempo Efectivo - Operativo,20260827-XRD150U-002-B
75,20260828,4,11,1,A,5.0,True,Tiempo Efectivo - Operativo,20260828-XRD150U-002-A
76,20260829,4,11,1,A,5.0,True,Tiempo Efectivo - Operativo,20260829-XRD150U-002-A
