meta_id,contrato_sk,equipo_sk,periodo_operativo_sort,meta_metraje_m,horas_programadas_mes
1,1,1,202609,317.17,720.0
2,1,2,202609,506.92,720.0
3,2,3,202609,298.08,720.0
4,2,4,202609,284.28,720.0
5,2,5,202609,327.4,720.0
6,3,6,202609,246.79,720.0
7,3,7,202609,259.9,720.0
8,3,8,202609,292.56,720.0
9,3,9,202609,221.26,720.0
10,3,10,202609,125.35,720.0
11,4,11,202609,189.75,720.0
12,5,12,202609,339.48,720.0
13,5,13,202609,434.12,720.0
14,5,14,202609,171.0,720.0
15,5,15,202609,0.0,720.0
16,5,16,202609,207.0,720.0
17,5,17,202609,301.07,720.0
18,6,18,202609,439.3,720.0
19,6,19,202609,362.02,720.0
20,6,20,202609,322.0,720.0
21,6,21,202609,430.1,720.0
22,6,22,202609,310.73,720.0
23,7,23,202609,228.62,720.0
24,8,24,202609,497.95,720.0
25,8,25,202609,333.04,720.0
26,8,26,202609,193.2,720.0
27,8,27,202609,77.51,720.0
28,9,28,202609,218.73,720.0
29,10,29,202609,96.6,720.0
30,10,30,202609,279.45,720.0
31,10,31,202609,172.5,720.0
32,10,32,202609,0.0,720.0
33,10,33,202609,41.4,720.0
34,10,34,202609,37.03,720.0
35,10,35,202609,296.7,720.0
36,11,36,202609,314.64,720.0
37,11,37,202609,489.21,720.0
38,12,38,202609,232.41,720.0
39,12,39,202609,0.0,720.0
40,12,40,202609,93.84,720.0
41,13,41,202609,244.31,720.0
42,13,42,202609,409.17,720.0
43,13,43,202609,301.42,720.0
44,13,44,202609,502.92,720.0
45,14,45,202609,146.51,720.0
46,14,46,202609,0.0,720.0
47,14,47,202609,283.93,720.0
48,14,48,202609,75.09,720.0
49,15,49,202609,406.87,720.0
50,15,50,202609,221.26,720.0
51,16,51,202609,241.15,720.0
52,17,52,202609,373.06,720.0
53,17,53,202609,158.35,720.0
54,17,54,202609,515.08,720.0
55,18,55,202609,258.98,720.0
56,18,56,202609,253.23,720.0
