asignacion_id,calendario_sk,equipo_sk,personal_sk,rol_desempenado,horas_laboradas,id_clave_unica
1,20260826,6,213,PERFORISTA,12.0,20260826-ANDAYCHAGUA-XRD80USS-010-A
2,20260826,6,337,AYUDANTE 1,12.0,20260826-ANDAYCHAGUA-XRD80USS-010-A
3,20260826,6,79,AYUDANTE 2,12.0,20260826-ANDAYCHAGUA-XRD80USS-010-A
4,20260826,6,42,PERFORISTA,12.0,20260826-ANDAYCHAGUA-XRD80USS-010-B
5,20260826,6,20,AYUDANTE 1,12.0,20260826-ANDAYCHAGUA-XRD80USS-010-B
6,20260826,6,378,AYUDANTE 2,12.0,20260826-ANDAYCHAGUA-XRD80USS-010-B
7,20260827,6,213,PERFORISTA,12.0,20260827-ANDAYCHAGUA-XRD80USS-010-A
8,20260827,6,337,AYUDANTE 1,12.0,20260827-ANDAYCHAGUA-XRD80USS-010-A
9,20260827,6,79,AYUDANTE 2,12.0,20260827-ANDAYCHAGUA-XRD80USS-010-A
10,20260827,6,42,PERFORISTA,12.0,20260827-ANDAYCHAGUA-XRD80USS-010-B
11,20260827,6,20,AYUDANTE 1,12.0,20260827-ANDAYCHAGUA-XRD80USS-010-B
12,20260827,6,378,AYUDANTE 2,12.0,20260827-ANDAYCHAGUA-XRD80USS-010-B
13,20260828,6,141,PERFORISTA,12.0,20260828-ANDAYCHAGUA-XRD80USS-010-A
14,20260828,6,50,AYUDANTE 1,12.0,20260828-ANDAYCHAGUA-XRD80USS-010-A
15,20260828,6,335,AYUDANTE 2,12.0,20260828-ANDAYCHAGUA-XRD80USS-010-A
16,20260828,6,213,PERFORISTA,12.0,20260828-ANDAYCHAGUA-XRD80USS-010-B
17,20260828,6,337,AYUDANTE 1,12.0,20260828-ANDAYCHAGUA-XRD80USS-010-B
18,20260828,6,79,AYUDANTE 2,12.0,20260828-ANDAYCHAGUA-XRD80USS-010-B
19,20260829,6,141,PERFORISTA,12.0,20260829-ANDAYCHAGUA-XRD80USS-010-A
