contrato_sk,contrato_cd,nombre_contrato,cliente_minero,zona_geografica,tipo_operacion,estado_vigencia
-1,NO_ASIGNADO,[CTR NO ASIGNADO],NO ESPECIFICADO,CENTRO,SUBTERRANEA,ACTIVO
1,AMERICANA,CONTRATO AMERICANA,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
2,ANDAYCHAGUA,CONTRATO ANDAYCHAGUA,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
3,CATALINA HUANCA,CONTRATO CATALINA HUANCA,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
4,CERRO,CONTRATO CERRO,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
5,CHUNGAR,CONTRATO CHUNGAR,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
6,COBRIZA,CONTRATO COBRIZA,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
7,COLQUISIRI,CONTRATO COLQUISIRI,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
8,CONDESTABLE,CONTRATO CONDESTABLE,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
9,CUCULI,CONTRATO CUCULI,CLIENTE MINERO TITULAR,CENTRO,SUPERFICIE,ACTIVO
10,INMACULADA,CONTRATO INMACULADA,CLIENTE MINERO TITULAR,SUR,SUBTERRANEA,ACTIVO
11,LA ESTRELLA,CONTRATO LA ESTRELLA,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
12,MOROCOCHA,CONTRATO MOROCOCHA,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
13,RAURA,CONTRATO RAURA,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
14,SAN CRISTOBAL,CONTRATO SAN CRISTOBAL,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
15,TAMBOJASA,CONTRATO TAMBOJASA,CLIENTE MINERO TITULAR,SUR,SUBTERRANEA,ACTIVO
16,TICLIO,CONTRATO TICLIO,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
17,YAULIYACU,CONTRATO YAULIYACU,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
18,YAURICOCHA,CONTRATO YAURICOCHA,CLIENTE MINERO TITULAR,CENTRO,SUBTERRANEA,ACTIVO
