equipo_sk,equipo_cd,modelo_fabricante,horas_dia_planeadas
-1,[EQUIPO NO DEFINIDO],[EQUIPO NO DEFINIDO],24
1,XRD50U-002,XRD50U-002,24
2,XRD50USS-001,XRD50USS-001,24
3,XRD80USS-010,XRD80USS-010,24
4,XRD150U-001,XRD150U-001,24
5,LF90DST-002,LF90DST-002,24
6,XRD150U-010,XRD150U-010,24
7,XRD50U-003,XRD50U-003,24
8,XRD50USS-004,XRD50USS-004,24
9,XRD100U-001,XRD100U-001,24
10,XRD90U-005,XRD90U-005,24
11,XRD125UFDR-001,XRD125UFDR-001,24
12,XRD150U-002,XRD150U-002,24
13,XRD90U-03,XRD90U-03,24
14,LM90U-001,LM90U-001,24
15,XRD90USS-003,XRD90USS-003,24
16,XRD150USS-005,XRD150USS-005,24
17,XRD120U-001,XRD120U-001,24
18,LM110U-001,LM110U-001,24
19,XRD50UFDR-001,XRD50UFDR-001,24
20,XLM75UFDR-003,XLM75UFDR-003,24
21,XRD80USS-006,XRD80USS-006,24
22,XRD125UFDR-002,XRD125UFDR-002,24
23,XRD150U-008,XRD150U-008,24
24,XRD80USS-012,XRD80USS-012,24
25,XRD80ITH-001,XRD80ITH-001,24
26,XLM75UFDR-002,XLM75UFDR-002,24
27,XLM75UFDR-004,XLM75UFDR-004,24
28,XRD150USS-003,XRD150USS-003,24
29,XRD100ST-001,XRD100ST-001,24
30,XRD80USS-008,XRD80USS-008,24
31,XRD90U-016,XRD90U-016,24
32,XRD150U-003,XRD150U-003,24
33,XLM75UFDR-001,XLM75UFDR-001,24
34,XRD250U-001,XRD250U-001,24
35,XRD90U-012,XRD90U-012,24
36,XRD150USS-004,XRD150USS-004,24
37,XRD150U-004,XRD150U-004,24
38,XRD150U-006,XRD150U-006,24
39,XRD90USS-005,XRD90USS-005,24
40,XRD80USS-011,XRD80USS-011,24
41,XRD150USS-002,XRD150USS-002,24
42,XRD90USS-004,XRD90USS-004,24
43,XRD90USS-001,XRD90USS-001,24
44,XRD150UBT-001,XRD150UBT-001,24
45,XRD150U-005,XRD150U-005,24
46,XRD90U-023,XRD90U-023,24
47,XRD90U-004,XRD90U-004,24
48,DE710ST-001,DE710ST-001,24
49,DE710ST-002,DE710ST-002,24
50,XRD150U-009,XRD150U-009,24
51,XRD150USS-001,XRD150USS-001,24
52,XRD50USS-003,XRD50USS-003,24
53,XRD50USS-00T,XRD50USS-00T,24
54,XRD125USS-001,XRD125USS-001,24
55,XRD150U-011,XRD150U-011,24
