sondaje_sk,sondaje_cd,contrato_sk,sondaje_padre_sk,tipo_taladro
-1,NO_ASIGNADO,-1,-1,ORIGINAL
1,AME26117,1,-1,ORIGINAL
2,AME26118,1,-1,ORIGINAL
3,AME26120,1,-1,ORIGINAL
4,SIN SONDAJE,1,-1,ORIGINAL
5,DDHSAN 26041,2,-1,ORIGINAL
6,DDHUAN 26042,2,-1,ORIGINAL
7,DDHUAN 26044,2,-1,ORIGINAL
8,DDHUANSE-26043,2,-1,ORIGINAL
9,SIN SONDAJE,2,-1,ORIGINAL
10,SIN SONDAJE,3,-1,ORIGINAL
11,UDH-3806–2026,3,-1,ORIGINAL
12,UDH-3808–2026,3,-1,ORIGINAL
13,UDH-3809–2026,3,-1,ORIGINAL
14,UDH-3810–2026,3,-1,ORIGINAL
15,UDH-3811–2026,3,-1,ORIGINAL
16,UDH-3812–2026,3,-1,ORIGINAL
17,UDH-3813-2026,3,-1,ORIGINAL
18,UDH-3814–2026,3,-1,ORIGINAL
19,DDHUCE-26024,4,-1,ORIGINAL
20,DDHUCE-26025,4,-1,ORIGINAL
21,SIN SONDAJE,4,-1,ORIGINAL
22,DDHSCHSE26076,5,-1,ORIGINAL
23,DDHUCH26005,5,-1,ORIGINAL
24,DDHUCH26010,5,-1,ORIGINAL
25,DDHUCH26011,5,-1,ORIGINAL
26,DDHUCH26012,5,-1,ORIGINAL
27,DDHUCH26013,5,-1,ORIGINAL
28,DDHUCH26075,5,-1,ORIGINAL
29,DDHUES26005,5,-1,ORIGINAL
30,SIN SONDAJE,5,-1,ORIGINAL
31,COM-26-196,6,-1,ORIGINAL
32,COM-26-197,6,-1,ORIGINAL
33,COM-26-198,6,-1,ORIGINAL
34,COM-26-199,6,-1,ORIGINAL
35,COM-26-200,6,-1,ORIGINAL
36,COM-26-201,6,-1,ORIGINAL
37,COM-26-202,6,-1,ORIGINAL
38,COM-26-203,6,-1,ORIGINAL
39,COM-26-204,6,-1,ORIGINAL
40,COM-26-205,6,-1,ORIGINAL
41,SIN SONDAJE,6,-1,ORIGINAL
42,DDH-208-26-M,7,-1,ORIGINAL
43,SIN SONDAJE,7,-1,ORIGINAL
44,SIN SONDAJE,8,-1,ORIGINAL
45,TL-03 (9),8,-1,ORIGINAL
46,TLL-04 (13),8,-1,ORIGINAL
47,UDH-13645,8,-1,ORIGINAL
48,UDH-13653,8,-1,ORIGINAL
49,UDH113610,8,-1,ORIGINAL
50,UDH13647,8,-1,ORIGINAL
51,UDH13654,8,-1,ORIGINAL
52,UDH13656,8,-1,ORIGINAL
53,DDH02026S,9,-1,ORIGINAL
54,DDH02126S,9,-1,ORIGINAL
55,SIN SONDAJE,9,-1,ORIGINAL
56,IMM26-546,10,-1,ORIGINAL
57,IMM26-552-A,10,-1,RAMAL_PARALELO
58,IMM26-554,10,-1,ORIGINAL
59,IMM26-555,10,-1,ORIGINAL
60,IMM26-556,10,-1,ORIGINAL
61,SIN SONDAJE,10,-1,ORIGINAL
62,SP26-0325,10,-1,ORIGINAL
63,SP26-0336,10,-1,ORIGINAL
64,SP26-0337,10,-1,ORIGINAL
65,SP26-0408,10,-1,ORIGINAL
66,SP26-0409,10,-1,ORIGINAL
67,SP26-0410,10,-1,ORIGINAL
68,SP26-0411,10,-1,ORIGINAL
69,SP26-0412,10,-1,ORIGINAL
70,SP26-0413,10,-1,ORIGINAL
71,SP26-0414,10,-1,ORIGINAL
72,SP26-0415,10,-1,ORIGINAL
73,SP26-0465,10,-1,ORIGINAL
74,SP26-0466,10,-1,ORIGINAL
75,SP26-0467,10,-1,ORIGINAL
76,SP26-0471,10,-1,ORIGINAL
77,DDH XRD150-6-26-45,11,-1,ORIGINAL
78,DDH XRD150-6-26-46,11,-1,ORIGINAL
79,DDH XRD150-6-26-46-1,11,-1,ORIGINAL
80,DDH-26-44,11,-1,ORIGINAL
81,SIN SONDAJE,11,-1,ORIGINAL
82,MO-UD-26-089,12,-1,ORIGINAL
83,MO-UD-26-092,12,-1,ORIGINAL
84,MO-UD-26-093,12,-1,ORIGINAL
85,SIN SONDAJE,12,-1,ORIGINAL
86,DDH-U-RAE-26-171,13,-1,ORIGINAL
87,DDH-U-RAE-26-173,13,-1,ORIGINAL
88,DDH-U-RAI-26-170,13,-1,ORIGINAL
89,DDH-U-RAI-26-172,13,-1,ORIGINAL
90,DDH-U-RAI-26-174,13,-1,ORIGINAL
91,DDH-U-RAI-26-175,13,-1,ORIGINAL
92,DDH-U-RAI-26-176,13,-1,ORIGINAL
93,SIN SONDAJE,13,-1,ORIGINAL
94,DDH SPU 26024,14,-1,ORIGINAL
95,DDH U SC 26039,14,-1,ORIGINAL
96,DDH U SC 26040,14,-1,ORIGINAL
97,DDH U SC 26041,14,-1,ORIGINAL
98,SIN SONDAJE,14,-1,ORIGINAL
99,DDH-M-TA-26-03,15,-1,ORIGINAL
100,DDH-S-TA-26-03,15,-1,ORIGINAL
101,SIN SONDAJE,15,-1,ORIGINAL
102,DDHUTI 26017,16,-1,ORIGINAL
103,DDHUTI 26018,16,-1,ORIGINAL
104,SIN SONDAJE,16,-1,ORIGINAL
105,GW-01,17,-1,ORIGINAL
106,SIN SONDAJE,17,-1,ORIGINAL
107,YYUD26099,17,-1,ORIGINAL
108,YYUD26100,17,-1,ORIGINAL
109,E-COR-21-26-02,18,-1,ORIGINAL
110,E-COR-21-26-03,18,-1,ORIGINAL
111,PZ-CV-ANT-20-26-01,18,-1,ORIGINAL
112,SIN SONDAJE,18,-1,ORIGINAL
