calendario_sk,fecha_dt,anio_civil,mes_num_civil,mes_nom_civil,dia_mes,dia_semana_num,dia_semana_nom,es_fin_semana,trimestre_civil,anio_operativo,mes_num_operativo,mes_nom_operativo,mes_anio_operativo,periodo_operativo_sort,dia_ciclo_operativo,es_cierre_operativo
-1,1900-01-01,1900,1,NO DEFINIDO,1,1,NO DEFINIDO,False,Q0,1900,1,NO DEFINIDO,N/D,190001,0,False
20260801,2026-08-01,2026,8,Agosto,1,6,Sábado,True,Q3,2026,8,Agosto,AGO-26,202608,7,False
20260802,2026-08-02,2026,8,Agosto,2,7,Domingo,True,Q3,2026,8,Agosto,AGO-26,202608,8,False
20260803,2026-08-03,2026,8,Agosto,3,1,Lunes,False,Q3,2026,8,Agosto,AGO-26,202608,9,False
20260804,2026-08-04,2026,8,Agosto,4,2,Martes,False,Q3,2026,8,Agosto,AGO-26,202608,10,False
20260805,2026-08-05,2026,8,Agosto,5,3,Miércoles,False,Q3,2026,8,Agosto,AGO-26,202608,11,False
20260806,2026-08-06,2026,8,Agosto,6,4,Jueves,False,Q3,2026,8,Agosto,AGO-26,202608,12,False
20260807,2026-08-07,2026,8,Agosto,7,5,Viernes,False,Q3,2026,8,Agosto,AGO-26,202608,13,False
20260808,2026-08-08,2026,8,Agosto,8,6,Sábado,True,Q3,2026,8,Agosto,AGO-26,202608,14,False
20260809,2026-08-09,2026,8,Agosto,9,7,Domingo,True,Q3,2026,8,Agosto,AGO-26,202608,15,False
20260810,2026-08-10,2026,8,Agosto,10,1,Lunes,False,Q3,2026,8,Agosto,AGO-26,202608,16,False
20260811,2026-08-11,2026,8,Agosto,11,2,Martes,False,Q3,2026,8,Agosto,AGO-26,202608,17,False
20260812,2026-08-12,2026,8,Agosto,12,3,Miércoles,False,Q3,2026,8,Agosto,AGO-26,202608,18,False
20260813,2026-08-13,2026,8,Agosto,13,4,Jueves,False,Q3,2026,8,Agosto,AGO-26,202608,19,False
20260814,2026-08-14,2026,8,Agosto,14,5,Viernes,False,Q3,2026,8,Agosto,AGO-26,202608,20,False
20260815,2026-08-15,2026,8,Agosto,15,6,Sábado,True,Q3,2026,8,Agosto,AGO-26,202608,21,False
20260816,2026-08-16,2026,8,Agosto,16,7,Domingo,True,Q3,2026,8,Agosto,AGO-26,202608,22,False
20260817,2026-08-17,2026,8,Agosto,17,1,Lunes,False,Q3,2026,8,Agosto,AGO-26,202608,23,False
20260818,2026-08-18,2026,8,Agosto,18,2,Martes,False,Q3,2026,8,Agosto,AGO-26,202608,24,False
20260819,2026-08-19,2026,8,Agosto,19,3,Miércoles,False,Q3,2026,8,Agosto,AGO-26,202608,25,False
20260820,2026-08-20,2026,8,Agosto,20,4,Jueves,False,Q3,2026,8,Agosto,AGO-26,202608,26,False
20260821,2026-08-21,2026,8,Agosto,21,5,Viernes,False,Q3,2026,8,Agosto,AGO-26,202608,27,False
20260822,2026-08-22,2026,8,Agosto,22,6,Sábado,True,Q3,2026,8,Agosto,AGO-26,202608,28,False
20260823,2026-08-23,2026,8,Agosto,23,7,Domingo,True,Q3,2026,8,Agosto,AGO-26,202608,29,False
20260824,2026-08-24,2026,8,Agosto,24,1,Lunes,False,Q3,2026,8,Agosto,AGO-26,202608,30,False
20260825,2026-08-25,2026,8,Agosto,25,2,Martes,False,Q3,2026,8,Agosto,AGO-26,202608,31,True
20260826,2026-08-26,2026,8,Agosto,26,3,Miércoles,False,Q3,2026,9,Setiembre,SET-26,202609,1,False
20260827,2026-08-27,2026,8,Agosto,27,4,Jueves,False,Q3,2026,9,Setiembre,SET-26,202609,2,False
20260828,2026-08-28,2026,8,Agosto,28,5,Viernes,False,Q3,2026,9,Setiembre,SET-26,202609,3,False
20260829,2026-08-29,2026,8,Agosto,29,6,Sábado,True,Q3,2026,9,Setiembre,SET-26,202609,4,False
20260830,2026-08-30,2026,8,Agosto,30,7,Domingo,True,Q3,2026,9,Setiembre,SET-26,202609,5,False
20260831,2026-08-31,2026,8,Agosto,31,1,Lunes,False,Q3,2026,9,Setiembre,SET-26,202609,6,False
20260901,2026-09-01,2026,9,Setiembre,1,2,Martes,False,Q3,2026,9,Setiembre,SET-26,202609,7,False
20260902,2026-09-02,2026,9,Setiembre,2,3,Miércoles,False,Q3,2026,9,Setiembre,SET-26,202609,8,False
20260903,2026-09-03,2026,9,Setiembre,3,4,Jueves,False,Q3,2026,9,Setiembre,SET-26,202609,9,False
20260904,2026-09-04,2026,9,Setiembre,4,5,Viernes,False,Q3,2026,9,Setiembre,SET-26,202609,10,False
20260905,2026-09-05,2026,9,Setiembre,5,6,Sábado,True,Q3,2026,9,Setiembre,SET-26,202609,11,False
20260906,2026-09-06,2026,9,Setiembre,6,7,Domingo,True,Q3,2026,9,Setiembre,SET-26,202609,12,False
20260907,2026-09-07,2026,9,Setiembre,7,1,Lunes,False,Q3,2026,9,Setiembre,SET-26,202609,13,False
20260908,2026-09-08,2026,9,Setiembre,8,2,Martes,False,Q3,2026,9,Setiembre,SET-26,202609,14,False
20260909,2026-09-09,2026,9,Setiembre,9,3,Miércoles,False,Q3,2026,9,Setiembre,SET-26,202609,15,False
20260910,2026-09-10,2026,9,Setiembre,10,4,Jueves,False,Q3,2026,9,Setiembre,SET-26,202609,16,False
20260911,2026-09-11,2026,9,Setiembre,11,5,Viernes,False,Q3,2026,9,Setiembre,SET-26,202609,17,False
20260912,2026-09-12,2026,9,Setiembre,12,6,Sábado,True,Q3,2026,9,Setiembre,SET-26,202609,18,False
20260913,2026-09-13,2026,9,Setiembre,13,7,Domingo,True,Q3,2026,9,Setiembre,SET-26,202609,19,False
20260914,2026-09-14,2026,9,Setiembre,14,1,Lunes,False,Q3,2026,9,Setiembre,SET-26,202609,20,False
20260915,2026-09-15,2026,9,Setiembre,15,2,Martes,False,Q3,2026,9,Setiembre,SET-26,202609,21,False
20260916,2026-09-16,2026,9,Setiembre,16,3,Miércoles,False,Q3,2026,9,Setiembre,SET-26,202609,22,False
20260917,2026-09-17,2026,9,Setiembre,17,4,Jueves,False,Q3,2026,9,Setiembre,SET-26,202609,23,False
20260918,2026-09-18,2026,9,Setiembre,18,5,Viernes,False,Q3,2026,9,Setiembre,SET-26,202609,24,False
20260919,2026-09-19,2026,9,Setiembre,19,6,Sábado,True,Q3,2026,9,Setiembre,SET-26,202609,25,False
20260920,2026-09-20,2026,9,Setiembre,20,7,Domingo,True,Q3,2026,9,Setiembre,SET-26,202609,26,False
20260921,2026-09-21,2026,9,Setiembre,21,1,Lunes,False,Q3,2026,9,Setiembre,SET-26,202609,27,False
20260922,2026-09-22,2026,9,Setiembre,22,2,Martes,False,Q3,2026,9,Setiembre,SET-26,202609,28,False
