hora_evento_id,calendario_sk,contrato_sk,equipo_sk,actividad_sk,turno_guardia,horas_reportadas,es_cobrable,categoria_disponibilidad,id_clave_unica
1,20260826,2,6,55,A,2.0,False,Stand By Inoperativo,20260826-ANDAYCHAGUA-XRD80USS-010-A
2,20260826,2,6,58,A,2.0,False,Stand By Inoperativo,20260826-ANDAYCHAGUA-XRD80USS-010-A
3,20260826,2,6,59,A,1.0,False,Stand By Inoperativo,20260826-ANDAYCHAGUA-XRD80USS-010-A
4,20260826,2,6,60,A,7.0,False,Stand By Inoperativo,20260826-ANDAYCHAGUA-XRD80USS-010-A
5,20260826,2,6,1,B,4.5,True,Tiempo Efectivo - Operativo,20260826-ANDAYCHAGUA-XRD80USS-010-B
6,20260826,2,6,5,B,0.5,False,Mantenimiento,20260826-ANDAYCHAGUA-XRD80USS-010-B
7,20260826,2,6,8,B,0.5,False,Stand By Operativo,20260826-ANDAYCHAGUA-XRD80USS-010-B
8,20260826,2,6,9,B,0.5,False,Stand By Operativo,20260826-ANDAYCHAGUA-XRD80USS-010-B
9,20260826,2,6,47,B,0.5,False,Stand By Inoperativo,20260826-ANDAYCHAGUA-XRD80USS-010-B
10,20260826,2,6,55,B,2.5,False,Stand By Inoperativo,20260826-ANDAYCHAGUA-XRD80USS-010-B
11,20260826,2,6,58,B,2.0,False,Stand By Inoperativo,20260826-ANDAYCHAGUA-XRD80USS-010-B
12,20260826,2,6,59,B,1.0,False,Stand By Inoperativo,20260826-ANDAYCHAGUA-XRD80USS-010-B
13,20260827,2,6,55,A,2.0,False,Stand By Inoperativo,20260827-ANDAYCHAGUA-XRD80USS-010-A
14,20260827,2,6,58,A,2.0,False,Stand By Inoperativo,20260827-ANDAYCHAGUA-XRD80USS-010-A
15,20260827,2,6,59,A,1.0,False,Stand By Inoperativo,20260827-ANDAYCHAGUA-XRD80USS-010-A
16,20260827,2,6,60,A,7.0,False,Stand By Inoperativo,20260827-ANDAYCHAGUA-XRD80USS-010-A
17,20260827,2,6,1,B,4.0,True,Tiempo Efectivo - Operativo,20260827-ANDAYCHAGUA-XRD80USS-010-B
18,20260827,2,6,5,B,0.5,False,Mantenimiento,20260827-ANDAYCHAGUA-XRD80USS-010-B
19,20260827,2,6,8,B,0.5,False,Stand By Operativo,20260827-ANDAYCHAGUA-XRD80USS-010-B
20,20260827,2,6,16,B,1.0,False,Stand By Operativo,20260827-ANDAYCHAGUA-XRD80USS-010-B
21,20260827,2,6,47,B,1.0,False,Stand By Inoperativo,20260827-ANDAYCHAGUA-XRD80USS-010-B
22,20260827,2,6,55,B,2.0,False,Stand By Inoperativo,20260827-ANDAYCHAGUA-XRD80USS-010-B
23,20260827,2,6,58,B,2.0,False,Stand By Inoperativo,20260827-ANDAYCHAGUA-XRD80USS-010-B
24,20260827,2,6,59,B,1.0,False,Stand By Inoperativo,20260827-ANDAYCHAGUA-XRD80USS-010-B
25,20260828,2,6,1,A,4.0,True,Tiempo Efectivo - Operativo,20260828-ANDAYCHAGUA-XRD80USS-010-A
26,20260828,2,6,5,A,0.5,False,Mantenimiento,20260828-ANDAYCHAGUA-XRD80USS-010-A
27,20260828,2,6,8,A,0.5,False,Stand By Operativo,20260828-ANDAYCHAGUA-XRD80USS-010-A
28,20260828,2,6,47,A,0.5,False,Stand By Inoperativo,20260828-ANDAYCHAGUA-XRD80USS-010-A
29,20260828,2,6,55,A,1.5,False,Stand By Inoperativo,20260828-ANDAYCHAGUA-XRD80USS-010-A
30,20260828,2,6,58,A,3.0,False,Stand By Inoperativo,20260828-ANDAYCHAGUA-XRD80USS-010-A
31,20260828,2,6,59,A,2.0,False,Stand By Inoperativo,20260828-ANDAYCHAGUA-XRD80USS-010-A
32,20260828,2,6,1,B,6.0,True,Tiempo Efectivo - Operativo,20260828-ANDAYCHAGUA-XRD80USS-010-B
33,20260828,2,6,5,B,0.5,False,Mantenimiento,20260828-ANDAYCHAGUA-XRD80USS-010-B
34,20260828,2,6,16,B,0.5,False,Stand By Operativo,20260828-ANDAYCHAGUA-XRD80USS-010-B
35,20260828,2,6,55,B,2.0,False,Stand By Inoperativo,20260828-ANDAYCHAGUA-XRD80USS-010-B
36,20260828,2,6,58,B,2.0,False,Stand By Inoperativo,20260828-ANDAYCHAGUA-XRD80USS-010-B
