meta_id,contrato_sk,equipo_sk,periodo_operativo_sort,meta_metraje_m,horas_programadas_mes
1,1,1,202609,0.0,720.0
2,1,2,202609,158.58,720.0
3,1,3,202609,253.46,720.0
4,2,4,202609,149.04,720.0
5,2,5,202609,142.14,720.0
6,2,6,202609,163.7,720.0
7,3,7,202609,123.4,720.0
8,3,8,202609,129.95,720.0
9,3,9,202609,146.28,720.0
10,3,10,202609,110.63,720.0
11,3,11,202609,62.68,720.0
12,4,12,202609,94.87,720.0
13,5,13,202609,169.74,720.0
14,5,14,202609,217.06,720.0
15,5,15,202609,85.5,720.0
16,5,16,202609,0.0,720.0
17,5,17,202609,0.0,720.0
18,5,18,202609,103.5,720.0
19,5,19,202609,150.54,720.0
20,6,20,202609,219.65,720.0
21,6,21,202609,181.01,720.0
22,6,22,202609,161.0,720.0
23,6,23,202609,215.05,720.0
24,6,24,202609,155.36,720.0
25,7,25,202609,114.31,720.0
26,8,26,202609,248.98,720.0
27,8,27,202609,166.52,720.0
28,8,28,202609,96.6,720.0
29,8,29,202609,38.76,720.0
30,9,30,202609,109.36,720.0
31,10,31,202609,48.3,720.0
32,10,32,202609,139.72,720.0
33,10,33,202609,86.25,720.0
34,10,34,202609,0.0,720.0
35,10,35,202609,20.7,720.0
36,10,36,202609,18.52,720.0
37,10,37,202609,148.35,720.0
38,11,38,202609,157.32,720.0
39,11,39,202609,244.6,720.0
40,12,40,202609,116.21,720.0
41,12,41,202609,0.0,720.0
42,12,42,202609,46.92,720.0
43,13,43,202609,122.15,720.0
44,13,44,202609,204.58,720.0
45,13,45,202609,150.71,720.0
46,13,46,202609,251.46,720.0
47,14,47,202609,73.26,720.0
48,14,48,202609,0.0,720.0
49,14,49,202609,141.97,720.0
50,14,50,202609,37.55,720.0
51,15,51,202609,203.44,720.0
52,15,52,202609,110.63,720.0
53,16,53,202609,120.58,720.0
54,17,54,202609,186.53,720.0
55,17,55,202609,79.18,720.0
56,17,56,202609,257.54,720.0
57,18,57,202609,129.49,720.0
58,18,58,202609,126.61,720.0
